britned_flow,date,day,demand_value,east_west_flow,eleclink_flow,embedded_solar_capacity,embedded_solar_generation,embedded_wind_capacity,embedded_wind_generation,england_wales_demand,greenlink_flow,hour,ifa2_flow,ifa_flow,minute,month,moyle_flow,nd,nemo_flow,non_bm_stor,nsl_flow,pump_storage_pumping,scottish_transfer,settlement_date,settlement_period,source_file,tsd,viking_flow,year
-243.0,2020-07-15,15,21286.0,319.0,0.0,13135.0,0.0,6527.0,1554.0,21286.0,0.0,0,0.0,-1338.0,0,7,248.0,23132.0,-58.0,0.0,0.0,14.0,NaN,2020-07-15,47.0,NaN,25285.0,0.0,2020
NaN,2005-04-23,23,30922.0,NaN,NaN,NaN,NaN,NaN,NaN,30922.0,NaN,0,NaN,1944.0,0,4,-186.0,34359.0,NaN,0.0,NaN,7.0,NaN,2005-04-23,16.0,NaN,35052.0,NaN,2005
976.0,2018-02-17,17,31115.0,-112.0,NaN,12916.0,1210.0,5779.0,1054.0,31115.0,NaN,0,0.0,1997.0,0,2,-241.0,34058.0,0.0,0.0,NaN,7.0,NaN,2018-02-17,18.0,NaN,35017.0,NaN,2018
NaN,2008-04-30,30,33621.0,NaN,NaN,NaN,NaN,1178.0,223.0,33621.0,NaN,0,NaN,1998.0,0,4,-75.0,37300.0,NaN,0.0,NaN,34.0,NaN,2008-04-30,46.0,NaN,37909.0,NaN,2008
NaN,2006-12-28,28,33564.0,NaN,NaN,NaN,NaN,NaN,NaN,33564.0,NaN,0,NaN,-1471.0,0,12,-209.0,37532.0,NaN,0.0,NaN,22.0,NaN,2006-12-28,46.0,NaN,39834.0,NaN,2006
-255.0,2016-08-08,8,16407.0,284.0,NaN,10500.0,0.0,4268.0,3006.0,16407.0,NaN,0,0.0,337.0,0,8,0.0,17338.0,0.0,0.0,NaN,1506.0,NaN,2016-08-08,3.0,NaN,19599.0,NaN,2016
NaN,2003-02-22,22,31970.0,NaN,NaN,NaN,NaN,NaN,NaN,31970.0,NaN,0,NaN,1033.0,0,2,NaN,36025.0,NaN,0.0,NaN,978.0,NaN,2003-02-22,10.0,NaN,NaN,NaN,2003
NaN,2003-08-01,1,22664.0,NaN,NaN,NaN,NaN,NaN,NaN,22664.0,NaN,0,NaN,48.0,0,8,NaN,25092.0,NaN,0.0,NaN,794.0,NaN,2003-08-01,6.0,NaN,NaN,NaN,2003
445.0,2020-01-11,11,24222.0,504.0,0.0,13043.0,0.0,6465.0,4938.0,24222.0,0.0,0,0.0,-1405.0,0,1,81.0,25853.0,-182.0,0.0,0.0,16.0,NaN,2020-01-11,16.0,NaN,28056.0,0.0,2020
206.0,2020-06-25,25,17759.0,0.0,0.0,13126.0,0.0,6527.0,747.0,17759.0,0.0,0,0.0,533.0,0,6,202.0,19398.0,44.0,0.0,0.0,872.0,NaN,2020-06-25,6.0,NaN,20770.0,0.0,2020
-833.0,2025-06-22,22,18219.0,-287.0,0.0,20764.0,0.0,6606.0,2131.0,18219.0,-516.0,0,991.0,1001.0,0,6,-300.0,19720.0,-206.0,0.0,1395.0,281.0,1234.0,2025-06-22,5.0,NaN,23175.0,-532.0,2025
863.0,2018-12-20,20,34173.0,154.0,NaN,13052.0,2260.0,5918.0,2062.0,34173.0,NaN,0,0.0,1997.0,0,12,262.0,37875.0,0.0,0.0,NaN,7.0,NaN,2018-12-20,24.0,NaN,38482.0,NaN,2018
NaN,2005-12-21,21,45365.0,NaN,NaN,NaN,NaN,NaN,NaN,45365.0,NaN,0,NaN,-683.0,0,12,-231.0,49806.0,NaN,0.0,NaN,2.0,NaN,2005-12-21,25.0,NaN,51322.0,NaN,2005
0.0,2024-07-17,17,21233.0,-515.0,996.0,17905.0,8690.0,6562.0,632.0,21233.0,0.0,0,991.0,1093.0,0,7,-452.0,23547.0,1019.0,0.0,1397.0,8.0,-53.0,2024-07-17,22.0,NaN,25022.0,1015.0,2024
1053.0,2023-02-18,18,24845.0,127.0,998.0,15222.0,1761.0,6545.0,2111.0,24845.0,0.0,0,991.0,2001.0,0,2,176.0,27787.0,741.0,0.0,1257.0,7.0,703.0,2023-02-18,28.0,NaN,28394.0,0.0,2023
-121.0,2011-12-20,20,40016.0,0.0,NaN,1111.0,4.0,1846.0,879.0,40016.0,NaN,0,0.0,-957.0,0,12,0.0,44426.0,0.0,0.0,NaN,14.0,NaN,2011-12-20,17.0,NaN,46118.0,NaN,2011
0.0,2017-05-16,16,19804.0,0.0,NaN,12000.0,0.0,5108.0,2272.0,19804.0,NaN,0,0.0,1601.0,0,5,247.0,21439.0,0.0,0.0,NaN,1709.0,NaN,2017-05-16,2.0,NaN,23647.0,NaN,2017
-464.0,2022-10-12,12,26583.0,-531.0,-1023.0,14859.0,4093.0,6545.0,2553.0,26583.0,0.0,0,-1029.0,0.0,0,10,-451.0,28909.0,-737.0,0.0,-108.0,5.0,NaN,2022-10-12,24.0,NaN,33757.0,0.0,2022
740.0,2018-12-01,1,32176.0,-67.0,NaN,13052.0,712.0,5911.0,1752.0,32176.0,NaN,0,0.0,1998.0,0,12,-455.0,35800.0,0.0,0.0,NaN,9.0,NaN,2018-12-01,26.0,NaN,36931.0,NaN,2018
0.0,2011-02-13,13,28520.0,0.0,NaN,102.0,1.0,1734.0,1698.0,28520.0,NaN,0,0.0,1763.0,0,2,-114.0,31603.0,0.0,0.0,NaN,6.0,NaN,2011-02-13,18.0,NaN,32323.0,NaN,2011
404.0,2017-06-15,15,25362.0,53.0,NaN,12025.0,5100.0,5143.0,2752.0,25362.0,NaN,0,0.0,1789.0,0,6,65.0,28132.0,0.0,0.0,NaN,8.0,NaN,2017-06-15,34.0,NaN,28640.0,NaN,2017
1049.0,2025-03-15,15,24113.0,-507.0,994.0,19950.0,0.0,6606.0,671.0,24113.0,-514.0,0,992.0,1999.0,0,3,-452.0,26544.0,999.0,0.0,998.0,17.0,-152.0,2025-03-15,3.0,NaN,28634.0,986.0,2025
-354.0,2022-11-23,23,31278.0,0.0,-1023.0,14962.0,271.0,6545.0,3205.0,31278.0,0.0,0,-818.0,-1030.0,0,11,-131.0,33414.0,-1020.0,0.0,-331.0,119.0,NaN,2022-11-23,18.0,NaN,38840.0,0.0,2022
NaN,2002-08-08,8,33587.0,NaN,NaN,NaN,NaN,NaN,NaN,33587.0,NaN,0,NaN,5.0,0,8,NaN,37105.0,NaN,0.0,NaN,0.0,NaN,2002-08-08,43.0,NaN,NaN,NaN,2002
NaN,2001-03-17,17,31963.0,NaN,NaN,NaN,NaN,NaN,NaN,31963.0,NaN,0,NaN,1612.0,0,3,NaN,36272.0,NaN,0.0,NaN,1279.0,NaN,2001-03-17,47.0,NaN,NaN,NaN,2001
879.0,2013-10-29,29,22655.0,42.0,NaN,3094.0,0.0,2392.0,1104.0,22655.0,NaN,0,0.0,1367.0,0,10,-251.0,24771.0,0.0,0.0,NaN,1372.0,NaN,2013-10-29,5.0,NaN,26994.0,NaN,2013
917.0,2023-04-20,20,19036.0,0.0,343.0,15564.0,0.0,6545.0,1849.0,19036.0,0.0,0,195.0,0.0,0,4,-25.0,20860.0,580.0,0.0,1095.0,7.0,311.0,2023-04-20,2.0,NaN,21392.0,0.0,2023
758.0,2018-03-18,18,23488.0,0.0,NaN,12916.0,0.0,5978.0,3725.0,23488.0,NaN,0,0.0,1274.0,0,3,133.0,25607.0,0.0,0.0,NaN,1515.0,NaN,2018-03-18,8.0,NaN,27722.0,NaN,2018
395.0,2022-10-18,18,30442.0,504.0,-1023.0,14871.0,0.0,6545.0,1433.0,30442.0,0.0,0,-797.0,-788.0,0,10,184.0,33513.0,-57.0,0.0,1392.0,0.0,NaN,2022-10-18,37.0,NaN,36678.0,0.0,2022
994.0,2011-12-04,4,23193.0,0.0,NaN,1096.0,0.0,1846.0,1010.0,23193.0,NaN,0,0.0,1750.0,0,12,0.0,25863.0,0.0,0.0,NaN,1458.0,NaN,2011-12-04,8.0,NaN,27921.0,NaN,2011
-183.0,2023-06-16,16,21102.0,0.0,100.0,15791.0,0.0,6538.0,573.0,21102.0,0.0,0,110.0,622.0,0,6,-337.0,23071.0,197.0,0.0,1298.0,5.0,-602.0,2023-06-16,47.0,NaN,24096.0,0.0,2023
576.0,2013-11-23,23,36351.0,-530.0,NaN,3192.0,48.0,2434.0,215.0,36351.0,NaN,0,0.0,1963.0,0,11,-251.0,40213.0,0.0,0.0,NaN,8.0,NaN,2013-11-23,32.0,NaN,41602.0,NaN,2013
NaN,2004-07-22,22,25817.0,NaN,NaN,NaN,NaN,NaN,NaN,25817.0,NaN,0,NaN,1952.0,0,7,NaN,28512.0,NaN,0.0,NaN,1141.0,NaN,2004-07-22,2.0,NaN,NaN,NaN,2004
1023.0,2024-09-30,30,29292.0,-531.0,0.0,18274.0,659.0,6622.0,2378.0,29292.0,0.0,0,-1.0,977.0,0,9,-452.0,32000.0,1018.0,0.0,1397.0,10.0,1502.0,2024-09-30,19.0,NaN,33494.0,1423.0,2024
